2           20            8          0.5            1           12            0            1            4      10.0058            1            8           12    0.0185991      10.0332      11.0798
2           20            4         0.75            2           50           10         0.25            4       8.6554            2           50           20      17.7292      26.3983      27.4041
3           35            0         0.25            1           12            0            1            4      5.05666            2           12            0       28.341      33.4063      34.4101
3           35            0         0.25            2           20           12         0.25            4       4.9353            2           12            0      34.8816      39.8228      40.8322
2           20            8          0.5            1           12            0            1            4       2.6842            1            8           12    0.0184265      2.72154      3.75896
2           20            4         0.75            2           50           10         0.25            4      4.37842            1           20           10      3.96273      8.35251      9.37254
3           35            0         0.25            1           12            0            1            4     0.650417            2           12           35      9.47283      10.1441      11.1506
3           35            0         0.25            2           20           12         0.25            4      4.82059            1           35           12      11.5573      16.3832      17.3904
2           20            8          0.5            1           12            0            1            4      1.49875            2           12           20    0.0186902      1.53654      2.57407
2           20            4         0.75            2           50           10         0.25            4      9.68146            2           10           20      2.97737      12.6716      13.6867
3           35            0         0.25            1           12            0            1            4     0.540752            1            0           12      14.0938      14.6577      15.6714
3           35            0         0.25            2           20           12         0.25            4     0.425949            1            0           12      16.1134      16.5584      17.5749
2           20            8          0.5            1           12            0            1            4      1.36089            1            8           12    0.0185555      1.50318      2.56729
2           20            4         0.75            2           50           10         0.25            4      10.4142            2           10           20      2.83656      13.2624      14.2782
3           35            0         0.25            1           12            0            1            4      3.01557            2           12            0      14.8033      17.8389      18.8489
3           35            0         0.25            2           20           12         0.25            4      2.47669            2           12            0      19.3224       21.822      22.8546
2           20            8          0.5            1           12            0            1            4      4.77535            1            8           12     0.019667      4.81702      5.85724
2           20            4         0.75            2           50           10         0.25            4      6.81973            1            4           10      6.03736      12.8645       13.891
3           35            0         0.25            1           12            0            1            4       2.0392            1            0           12      14.1462      16.1921       17.193
2             22              2            0.5              2              1             13           0.25              4      4.4003435              2             13              2      6.1223523      10.641544      14.859672              2  0.00052838984      2753.1982
3              0             10            0.5              1              5              0              1              4      1.9595136              1              0              5      27.095199      29.199434      35.314113              3      20.940405      2774.2316
2             40             10            0.5              1             25              0              1              4      1.4949595              1             40             25      49.403514      51.136217      57.241885              5      43.351403      2796.5354
3              0             50            0.5              2              4             20            0.5              1      2.5144203              2              4              0      67.354795      70.003306      74.128387              1      61.267588      2814.4804
3              0             20              1              1             12              0              1              4      4.0252598              2             12              0      86.217967      90.396938      98.480446              1       80.16461      2833.3509
2             15             25            0.5              1             25              0              1              4      12.964185              2             25             25      108.68193      121.77332      125.89697              6      102.51757      2855.6996
